route,points,first_period_label,first_source_sheet,first_date,first_speed,latest_period_label,latest_source_sheet,latest_date,latest_speed,prev_speed_full,abs_change_full,pct_change_full,base_period_label_1yr,base_source_sheet_1yr,base_date_1yr,prev_speed_1yr,abs_change_1yr,pct_change_1yr,base_period_label_5yr,base_source_sheet_5yr,base_date_5yr,prev_speed_5yr,abs_change_5yr,pct_change_5yr,base_period_label_10yr,base_source_sheet_10yr,base_date_10yr,prev_speed_10yr,abs_change_10yr,pct_change_10yr,include_in_map,flags
V640,9,P01/2020,2020-21,2020-04-01,10.9793441830049,P12/2021,2021-22,2022-02-03,11.2129725330296,10.9793441830049,0.23362835002470028,2.127889845974018,P11/2020,2020-21,2021-01-06,12.188553032246,-0.9755804992164006,-8.004071497538778,P01/2020,2020-21,2020-04-01,10.9793441830049,0.23362835002470028,2.127889845974018,P01/2020,2020-21,2020-04-01,10.9793441830049,0.23362835002470028,2.127889845974018,True,
224,168,P01/2013,2013-14,2013-04-01,8.827800371265901,P13/2025,2025-26,2026-03-03,9.014663472052968,8.827800371265901,0.18686310078706647,2.11675720936438,P13/2024,2024-25,2025-03-03,9.044368729457574,-0.029705257404605945,-0.3284392564387132,P13/2020,2020-21,2021-03-03,10.0293157496126,-1.014652277559632,-10.116864429149363,P13/2015,2015-16,2016-03-02,8.547160289502418,0.46750318255054957,5.469690127664211,True,
V412,9,P01/2020,2020-21,2020-04-01,9.85542464825722,P11/2021,2021-22,2022-01-06,10.0470546750039,9.85542464825722,0.1916300267466795,1.944411667543583,P11/2020,2020-21,2021-01-06,8.45419905314002,1.5928556218638796,18.840999742870597,P01/2020,2020-21,2020-04-01,9.85542464825722,0.1916300267466795,1.944411667543583,P01/2020,2020-21,2020-04-01,9.85542464825722,0.1916300267466795,1.944411667543583,True,
306,78,P03/2019,2019-20,2019-05-27,7.15834246895956,P13/2025,2025-26,2026-03-03,7.297345294458752,7.15834246895956,0.1390028254991913,1.9418297755652763,P13/2024,2024-25,2025-03-03,6.85517780241381,0.4421674920449412,6.450124340892331,P13/2020,2020-21,2021-03-03,8.404669055636,-1.1073237611772493,-13.175102479909073,P03/2019,2019-20,2019-05-27,7.15834246895956,0.1390028254991913,1.9418297755652763,True,
N119,168,P01/2013,2013-14,2013-04-01,17.87926483923899,P13/2025,2025-26,2026-03-03,18.21448915088465,17.87926483923899,0.3352243116456606,1.8749334195774965,P13/2024,2024-25,2025-03-03,17.85764659928199,0.35684255160266076,1.9982619188858206,P13/2020,2020-21,2021-03-03,18.925075117008,-0.7105859661233502,-3.754732605973888,P13/2015,2015-16,2016-03-02,17.827520794498216,0.3869683563864328,2.1706235031056913,True,
R7,168,P01/2013,2013-14,2013-04-01,12.815817405392693,P13/2025,2025-26,2026-03-03,13.042178706122046,12.815817405392693,0.22636130072935323,1.7662650267949664,P13/2024,2024-25,2025-03-03,13.2404536535378,-0.19827494741575435,-1.4974936101436072,P13/2020,2020-21,2021-03-03,14.2013932175044,-1.1592145113823538,-8.162681601925685,P13/2015,2015-16,2016-03-02,13.057269812919644,-0.015091106797598286,-0.11557628059938106,True,
189,168,P01/2013,2013-14,2013-04-01,7.825146075864923,P13/2025,2025-26,2026-03-03,7.954772833099513,7.825146075864923,0.12962675723458972,1.6565410533919256,P13/2024,2024-25,2025-03-03,8.300966526583053,-0.34619369348354034,-4.170522702084005,P13/2020,2020-21,2021-03-03,8.32931672843127,-0.37454389533175636,-4.496694117217192,P13/2015,2015-16,2016-03-02,7.994867683691603,-0.04009485059208995,-0.5015073692073448,True,
V232,11,P01/2020,2020-21,2020-04-01,9.56930026999473,P09/2021,2021-22,2021-11-11,9.72346318122373,9.56930026999473,0.15416291122899928,1.6110155066655065,P08/2020,2020-21,2020-10-14,9.40547796057705,0.3179852206466798,3.380851265395667,P01/2020,2020-21,2020-04-01,9.56930026999473,0.15416291122899928,1.6110155066655065,P01/2020,2020-21,2020-04-01,9.56930026999473,0.15416291122899928,1.6110155066655065,True,
150D,56,P01/2013,2013-14,2013-04-01,7.363648847761167,P12/2017,2017-18,2018-02-03,7.4820109923080995,7.363648847761167,0.11836214454693295,1.607384423048902,P12/2016,2016-17,2017-02-03,7.690292341432019,-0.2082813491239195,-2.7083671189167715,P01/2013,2013-14,2013-04-01,7.363648847761167,0.11836214454693295,1.607384423048902,P01/2013,2013-14,2013-04-01,7.363648847761167,0.11836214454693295,1.607384423048902,True,
146,168,P01/2013,2013-14,2013-04-01,15.921373702188069,P13/2025,2025-26,2026-03-03,16.163283622688315,15.921373702188069,0.2419099205002464,1.5194035704783488,P13/2024,2024-25,2025-03-03,13.962990834534212,2.200292788154103,15.758033606325874,P13/2020,2020-21,2021-03-03,16.4932947251216,-0.3300111024332857,-2.0008804058453675,P13/2015,2015-16,2016-03-02,15.745840544921796,0.417443077766519,2.651132383664008,True,
299,168,P01/2013,2013-14,2013-04-01,10.949699689883015,P13/2025,2025-26,2026-03-03,11.113986359634303,10.949699689883015,0.16428666975128792,1.5003760322584987,P13/2024,2024-25,2025-03-03,10.387570815497646,0.7264155441366569,6.993122425243903,P13/2020,2020-21,2021-03-03,10.8040004963252,0.3099858633091035,2.8691766851967473,P13/2015,2015-16,2016-03-02,10.529322120834427,0.584664238799876,5.552724402295544,True,
UL23,22,P02/2015,2015-16,2015-04-29,8.650960978997837,P12/2021,2021-22,2022-02-03,8.77664689791676,8.650960978997837,0.1256859189189221,1.452854997543661,P02/2021,2021-22,2021-04-29,8.36383362763725,0.41281327027950887,4.935694427438378,P12/2016,2016-17,2017-02-03,8.469724926226585,0.30692197169017454,3.623753715304115,P02/2015,2015-16,2015-04-29,8.650960978997837,0.1256859189189221,1.452854997543661,True,
238U,15,P03/2014,2014-15,2014-05-27,6.544876920047468,P02/2021,2021-22,2021-04-29,6.63876596890695,6.544876920047468,0.09388904885948168,1.4345426202270086,P01/2020,2020-21,2020-04-01,6.52192891829897,0.11683705060797944,1.7914493100371374,P03/2014,2014-15,2014-05-27,6.544876920047468,0.09388904885948168,1.4345426202270086,P03/2014,2014-15,2014-05-27,6.544876920047468,0.09388904885948168,1.4345426202270086,True,
EL2,168,P01/2013,2013-14,2013-04-01,11.023032617718926,P13/2025,2025-26,2026-03-03,11.171932754873051,11.023032617718926,0.14890013715412564,1.3508091858022515,P13/2024,2024-25,2025-03-03,10.792704926977652,0.37922782789539866,3.513742203286532,P13/2020,2020-21,2021-03-03,11.7619729282745,-0.590040173401448,-5.016506813946628,P13/2015,2015-16,2016-03-02,9.805605915838028,1.3663268390350236,13.934139825343486,True,
N102,168,P01/2013,2013-14,2013-04-01,16.204614436380275,P13/2025,2025-26,2026-03-03,16.419775082408822,16.204614436380275,0.21516064602854712,1.327773930526229,P13/2024,2024-25,2025-03-03,15.874300043741494,0.5454750386673286,3.4362147443621263,P13/2020,2020-21,2021-03-03,16.6761801965844,-0.2564051141755783,-1.537553031647469,P13/2015,2015-16,2016-03-02,15.904599366816893,0.5151757155919299,3.2391618531855912,True,
DL11,23,P01/2022,2022-23,2022-04-01,6.031672507833825,P13/2024,2024-25,2025-03-03,6.1084180714013705,6.031672507833825,0.07674556356754536,1.272376168763633,P13/2023,2023-24,2024-03-02,7.58477502560376,-1.476356954202389,-19.464742846276696,P01/2022,2022-23,2022-04-01,6.031672507833825,0.07674556356754536,1.272376168763633,P01/2022,2022-23,2022-04-01,6.031672507833825,0.07674556356754536,1.272376168763633,True,
V653,10,P01/2020,2020-21,2020-04-01,8.68655945401359,P13/2021,2021-22,2022-03-03,8.7925981270391,8.68655945401359,0.10603867302550896,1.2207212025298948,P11/2020,2020-21,2021-01-06,15.0661070328415,-6.273508905802402,-41.63988011055039,P01/2020,2020-21,2020-04-01,8.68655945401359,0.10603867302550896,1.2207212025298948,P01/2020,2020-21,2020-04-01,8.68655945401359,0.10603867302550896,1.2207212025298948,True,
W7,168,P01/2013,2013-14,2013-04-01,9.106836258821216,P13/2025,2025-26,2026-03-03,9.21292474698479,9.106836258821216,0.1060884881635733,1.1649324216278962,P13/2024,2024-25,2025-03-03,9.086669785780026,0.1262549612047632,1.3894525076980677,P13/2020,2020-21,2021-03-03,12.4435554585875,-3.2306307116027106,-25.96228001196555,P13/2015,2015-16,2016-03-02,9.254606823392884,-0.04168207640809385,-0.45039273092330623,True,
V352,8,P02/2020,2020-21,2020-04-29,11.0165314292866,P04/2021,2021-22,2021-06-24,11.1438397475621,11.0165314292866,0.1273083182754995,1.1556116286934028,P03/2020,2020-21,2020-05-27,12.0759171872465,-0.9320774396844005,-7.7184815466338,P02/2020,2020-21,2020-04-29,11.0165314292866,0.1273083182754995,1.1556116286934028,P02/2020,2020-21,2020-04-29,11.0165314292866,0.1273083182754995,1.1556116286934028,True,
V382,10,P01/2020,2020-21,2020-04-01,9.39006187948068,P11/2021,2021-22,2022-01-06,9.49733727445512,9.39006187948068,0.10727539497444027,1.1424354423995893,P11/2020,2020-21,2021-01-06,9.98546739330128,-0.48813011884615953,-4.888405315645216,P01/2020,2020-21,2020-04-01,9.39006187948068,0.10727539497444027,1.1424354423995893,P01/2020,2020-21,2020-04-01,9.39006187948068,0.10727539497444027,1.1424354423995893,True,
V613,10,P01/2020,2020-21,2020-04-01,10.0276620492417,P12/2021,2021-22,2022-02-03,10.1412620145875,10.0276620492417,0.11359996534580041,1.1328659141877537,P11/2020,2020-21,2021-01-06,10.3842858406208,-0.24302382603329953,-2.3403037027606604,P01/2020,2020-21,2020-04-01,10.0276620492417,0.11359996534580041,1.1328659141877537,P01/2020,2020-21,2020-04-01,10.0276620492417,0.11359996534580041,1.1328659141877537,True,
166X,15,P01/2019,2019-20,2019-04-01,13.26573057171066,P13/2024,2024-25,2025-03-03,13.413813911872792,13.26573057171066,0.1480833401621311,1.1162848465950357,P12/2023,2023-24,2024-02-03,14.779886430467991,-1.3660725185951996,-9.242780890244934,P03/2020,2020-21,2020-05-27,13.4418548657527,-0.028040953879909125,-0.2086092593616091,P01/2019,2019-20,2019-04-01,13.26573057171066,0.1480833401621311,1.1162848465950357,True,
240,168,P01/2013,2013-14,2013-04-01,10.548640947253205,P12/2025,2025-26,2026-02-03,10.655911896031688,10.548640947253205,0.10727094877848309,1.0169172437935308,P12/2024,2024-25,2025-02-03,10.40741468015135,0.24849721588033802,2.3876940000696143,P12/2020,2020-21,2021-02-03,11.1172626806853,-0.4613507846536127,-4.1498595284174185,P12/2015,2015-16,2016-02-03,10.2472498081943,0.4086620878373868,3.9880172288821987,True,
UL24,14,P12/2017,2017-18,2018-02-03,11.358298138954892,P11/2022,2022-23,2023-01-06,11.473640620324128,11.358298138954892,0.11534248136923608,1.0154908768739985,P11/2021,2021-22,2022-01-06,10.5950478086289,0.8785928116952277,8.29248557972223,P12/2017,2017-18,2018-02-03,11.358298138954892,0.11534248136923608,1.0154908768739985,P12/2017,2017-18,2018-02-03,11.358298138954892,0.11534248136923608,1.0154908768739985,True,
R4,168,P01/2013,2013-14,2013-04-01,12.85823567950637,P13/2025,2025-26,2026-03-03,12.987815599360315,12.85823567950637,0.12957991985394557,1.0077581643683184,P13/2024,2024-25,2025-03-03,11.960057984770712,1.0277576145896035,8.593249429879807,P13/2020,2020-21,2021-03-03,12.5354027311405,0.45241286821981497,3.6090812391366494,P13/2015,2015-16,2016-03-02,12.69311585845557,0.29469974090474516,2.3217289134600447,True,
N37,168,P01/2013,2013-14,2013-04-01,14.0843287336833,P13/2025,2025-26,2026-03-03,14.22532339307435,14.0843287336833,0.14099465939104938,1.0010747551912387,P13/2024,2024-25,2025-03-03,14.266384192412444,-0.041060799338094256,-0.28781503977673883,P13/2020,2020-21,2021-03-03,14.5259061895948,-0.30058279652044995,-2.06928774423563,P13/2015,2015-16,2016-03-02,13.744498114957931,0.4808252781164182,3.498310917538293,True,
VB15,10,P03/2020,2020-21,2020-05-27,9.76905576710295,P13/2021,2021-22,2022-03-03,9.86326748211322,9.76905576710295,0.09421171501026926,0.9643891616170812,P13/2020,2020-21,2021-03-03,9.67729504717463,0.18597243493858961,1.921739846021186,P03/2020,2020-21,2020-05-27,9.76905576710295,0.09421171501026926,0.9643891616170812,P03/2020,2020-21,2020-05-27,9.76905576710295,0.09421171501026926,0.9643891616170812,True,
650,154,P01/2013,2013-14,2013-04-01,6.868131208163616,P13/2025,2025-26,2026-03-03,6.934069821563508,6.868131208163616,0.06593861339989182,0.9600663033565184,P13/2024,2024-25,2025-03-03,7.212454897869858,-0.2783850763063498,-3.8597825601456264,P13/2020,2020-21,2021-03-03,8.88766439454045,-1.9535945729769413,-21.980966947593153,P13/2015,2015-16,2016-03-02,6.930608304651643,0.0034615169118650257,0.049945354862166225,True,
V108,8,P01/2020,2020-21,2020-04-01,8.78323190186781,P12/2021,2021-22,2022-02-03,8.85758767141671,8.78323190186781,0.07435576954889989,0.846565027311731,P11/2020,2020-21,2021-01-06,9.06849662469802,-0.21090895328130976,-2.3257322796691566,P01/2020,2020-21,2020-04-01,8.78323190186781,0.07435576954889989,0.846565027311731,P01/2020,2020-21,2020-04-01,8.78323190186781,0.07435576954889989,0.846565027311731,True,
134,168,P01/2013,2013-14,2013-04-01,8.263710844422153,P12/2025,2025-26,2026-02-03,8.331570146446477,8.263710844422153,0.06785930202432411,0.82117227117316,P12/2024,2024-25,2025-02-03,8.22175589621862,0.10981425022785807,1.33565447106456,P12/2020,2020-21,2021-02-03,8.50643698058233,-0.17486683413585347,-2.0557001072837258,P12/2015,2015-16,2016-02-03,8.066574643589815,0.26499550285666196,3.285105693123949,True,
317,168,P01/2013,2013-14,2013-04-01,10.843913364968786,P13/2025,2025-26,2026-03-03,10.929377347021129,10.843913364968786,0.0854639820523424,0.7881285950552999,P13/2024,2024-25,2025-03-03,10.852899854839752,0.07647749218137712,0.7046733426483492,P13/2020,2020-21,2021-03-03,11.4596444504318,-0.5302671034106705,-4.627256157067683,P13/2015,2015-16,2016-03-02,10.262398302642374,0.6669790443787544,6.499251195571117,True,
N134,168,P01/2013,2013-14,2013-04-01,13.54071740667035,P13/2025,2025-26,2026-03-03,13.639914462921846,13.54071740667035,0.09919705625149611,0.7325834612177212,P13/2024,2024-25,2025-03-03,14.026962154525895,-0.3870476916040495,-2.7593122968480093,P13/2020,2020-21,2021-03-03,12.8395873287463,0.8003271341755465,6.233277703432958,P13/2015,2015-16,2016-03-02,13.613169160161002,0.02674530276084397,0.1964663954894075,True,
343,168,P01/2013,2013-14,2013-04-01,8.186211675282912,P13/2025,2025-26,2026-03-03,8.241832149178508,8.186211675282912,0.05562047389559588,0.6794409441370041,P13/2024,2024-25,2025-03-03,7.963832593435227,0.27799955574328106,3.490775986080403,P13/2020,2020-21,2021-03-03,8.95310374578729,-0.7112715966087819,-7.9444136559174465,P13/2015,2015-16,2016-03-02,7.630003516595414,0.6118286325830944,8.018720191312555,True,
N20,168,P01/2013,2013-14,2013-04-01,14.19344859505208,P12/2025,2025-26,2026-02-03,14.2812397378137,14.19344859505208,0.0877911427616187,0.6185328546032373,P12/2024,2024-25,2025-02-03,14.292774444614476,-0.011534706800777172,-0.08070306325391886,P12/2020,2020-21,2021-02-03,15.1031278541118,-0.8218881162981013,-5.441840420322892,P12/2015,2015-16,2016-02-03,13.827598263438832,0.45364147437486757,3.2806960813601913,True,
N365,168,P01/2013,2013-14,2013-04-01,15.19888942769219,P13/2025,2025-26,2026-03-03,15.280593252712409,15.19888942769219,0.08170382502021845,0.5375644411976251,P13/2024,2024-25,2025-03-03,15.128467269028238,0.1521259836841704,1.0055611119019994,P13/2020,2020-21,2021-03-03,15.3074253362755,-0.026832083563091302,-0.17528802508351743,P13/2015,2015-16,2016-03-02,14.926118743884238,0.35447450882817044,2.3748605709934556,True,
V325,10,P03/2020,2020-21,2020-05-27,8.3554591782256,P11/2021,2021-22,2022-01-06,8.39395100169736,8.3554591782256,0.03849182347176061,0.4606787329183613,P10/2020,2020-21,2020-12-09,8.2009000592308,0.1930509424665594,2.3540214009712797,P03/2020,2020-21,2020-05-27,8.3554591782256,0.03849182347176061,0.4606787329183613,P03/2020,2020-21,2020-05-27,8.3554591782256,0.03849182347176061,0.4606787329183613,True,
T33,34,P01/2013,2013-14,2013-04-01,13.463237870672163,P13/2015,2015-16,2016-03-02,13.524817999848496,13.463237870672163,0.06158012917633293,0.4573946458338739,P13/2014,2014-15,2015-03-03,13.530648940912664,-0.005830941064168371,-0.04309431934589136,P01/2013,2013-14,2013-04-01,13.463237870672163,0.06158012917633293,0.4573946458338739,P01/2013,2013-14,2013-04-01,13.463237870672163,0.06158012917633293,0.4573946458338739,True,
V444,10,P03/2020,2020-21,2020-05-27,8.92414936293649,P11/2021,2021-22,2022-01-06,8.96189570480159,8.92414936293649,0.037746341865100064,0.4229685130760702,P10/2020,2020-21,2020-12-09,8.5715639711306,0.3903317336709904,4.553798291486182,P03/2020,2020-21,2020-05-27,8.92414936293649,0.037746341865100064,0.4229685130760702,P03/2020,2020-21,2020-05-27,8.92414936293649,0.037746341865100064,0.4229685130760702,True,
N238,137,P01/2015,2015-16,2015-04-01,11.222507676000502,P13/2025,2025-26,2026-03-03,11.26917545306725,11.222507676000502,0.04666777706674807,0.41584090128579554,P13/2024,2024-25,2025-03-03,11.163817564108202,0.1053578889590483,0.9437442734443734,P13/2020,2020-21,2021-03-03,11.7824087856709,-0.5132333326036491,-4.355928757350657,P13/2015,2015-16,2016-03-02,11.079157625974217,0.19001782709303328,1.7150927309450978,True,
N16,131,P01/2013,2013-14,2013-04-01,13.190452104943368,P01/2023,2023-24,2023-04-01,13.244857911296144,13.190452104943368,0.0544058063527757,0.4124635449939286,P01/2022,2022-23,2022-04-01,13.509106135865288,-0.264248224569144,-1.9560748276867268,P01/2018,2018-19,2018-04-01,13.620803854195543,-0.3759459428993992,-2.7600863129939177,P01/2013,2013-14,2013-04-01,13.190452104943368,0.0544058063527757,0.4124635449939286,True,
N74,168,P01/2013,2013-14,2013-04-01,14.167167191485287,P13/2025,2025-26,2026-03-03,14.223051045837911,14.167167191485287,0.055883854352623885,0.39446032927606767,P13/2024,2024-25,2025-03-03,13.947208080399928,0.2758429654379828,1.9777647529732216,P13/2020,2020-21,2021-03-03,14.8735306269676,-0.6504795811296891,-4.373403984863466,P13/2015,2015-16,2016-03-02,14.20819477154002,0.014856274297891048,0.10456130801112873,True,
SL3,27,P02/2023,2023-24,2023-04-29,14.330103073306582,P13/2025,2025-26,2026-03-03,14.38209266073672,14.330103073306582,0.05198958743013904,0.362799814936312,P13/2024,2024-25,2025-03-03,14.27655511804758,0.10553754268913984,0.7392367543604793,P02/2023,2023-24,2023-04-29,14.330103073306582,0.05198958743013904,0.362799814936312,P02/2023,2023-24,2023-04-29,14.330103073306582,0.05198958743013904,0.362799814936312,True,
EL1,168,P01/2013,2013-14,2013-04-01,9.341992063282744,P13/2025,2025-26,2026-03-03,9.375361842107573,9.341992063282744,0.033369778824829055,0.357201960767916,P13/2024,2024-25,2025-03-03,9.745843860234064,-0.3704820181264914,-3.801436011489657,P13/2020,2020-21,2021-03-03,10.3427279294567,-0.9673660873491272,-9.35310388078576,P13/2015,2015-16,2016-03-02,8.726344999145319,0.6490168429622543,7.437441941910625,True,
N199,137,P02/2015,2015-16,2015-04-29,14.251651590773902,P13/2025,2025-26,2026-03-03,14.299867316545887,14.251651590773902,0.04821572577198552,0.33831675904285335,P13/2024,2024-25,2025-03-03,14.471507548718552,-0.1716402321726651,-1.1860563358367167,P13/2020,2020-21,2021-03-03,14.5977478714908,-0.2978805549449124,-2.040592545968471,P01/2016,2016-17,2016-04-01,13.86284741146862,0.4370199050772676,3.152454125086342,True,
238,168,P01/2013,2013-14,2013-04-01,7.863417938126927,P13/2025,2025-26,2026-03-03,7.889373230143427,7.863417938126927,0.025955292016499598,0.3300764657395556,P13/2024,2024-25,2025-03-03,7.430686507287176,0.45868672285625056,6.172871408401129,P13/2020,2020-21,2021-03-03,7.97752920228646,-0.08815597214303317,-1.1050535812237021,P13/2015,2015-16,2016-03-02,7.546183839766608,0.3431893903768186,4.547853559679947,True,
399,168,P01/2013,2013-14,2013-04-01,14.131786352769344,P13/2025,2025-26,2026-03-03,14.175098607294457,14.131786352769344,0.04331225452511234,0.3064881780966397,P13/2024,2024-25,2025-03-03,13.47813796771944,0.6969606395750159,5.171045445923304,P13/2020,2020-21,2021-03-03,13.6552206064466,0.5198780008478572,3.8071739434397998,P13/2015,2015-16,2016-03-02,14.596745011553114,-0.4216464042586576,-2.888633074873409,True,
UL75,9,P05/2019,2019-20,2019-07-22,11.624002636393511,P13/2023,2023-24,2024-03-02,11.659075032646795,11.624002636393511,0.035072396253283955,0.30172391860507697,P01/2023,2023-24,2023-04-01,13.008336309919075,-1.34926127727228,-10.372281628692562,P05/2019,2019-20,2019-07-22,11.624002636393511,0.035072396253283955,0.30172391860507697,P05/2019,2019-20,2019-07-22,11.624002636393511,0.035072396253283955,0.30172391860507697,True,
SL7,33,P01/2023,2023-24,2023-04-01,13.176454065814866,P13/2025,2025-26,2026-03-03,13.2153935706657,13.176454065814866,0.038939504850834084,0.29552339845254083,P13/2024,2024-25,2025-03-03,13.755473742851912,-0.5400801721862116,-3.92629277829756,P01/2023,2023-24,2023-04-01,13.176454065814866,0.038939504850834084,0.29552339845254083,P01/2023,2023-24,2023-04-01,13.176454065814866,0.038939504850834084,0.29552339845254083,True,
81,168,P01/2013,2013-14,2013-04-01,11.83594638674033,P12/2025,2025-26,2026-02-03,11.866728431516876,11.83594638674033,0.030782044776545447,0.2600725262749602,P12/2024,2024-25,2025-02-03,11.819215214659543,0.04751321685733245,0.40199976051202724,P12/2020,2020-21,2021-02-03,13.0581926364983,-1.1914642049814237,-9.12426580115859,P12/2015,2015-16,2016-02-03,11.855152655170365,0.01157577634651119,0.09764341871601856,True,
V280,9,P02/2020,2020-21,2020-04-29,8.219342850492,P13/2021,2021-22,2022-03-03,8.23994012491746,8.219342850492,0.020597274425460554,0.2505951485431421,P13/2020,2020-21,2021-03-03,8.74163191105865,-0.5016917861411905,-5.739109027303272,P02/2020,2020-21,2020-04-29,8.219342850492,0.020597274425460554,0.2505951485431421,P02/2020,2020-21,2020-04-29,8.219342850492,0.020597274425460554,0.2505951485431421,True,
97,168,P01/2013,2013-14,2013-04-01,8.290770281098698,P13/2025,2025-26,2026-03-03,8.311506810616125,8.290770281098698,0.02073652951742666,0.2501158374234757,P13/2024,2024-25,2025-03-03,8.637915320901238,-0.32640851028511264,-3.7787880311271302,P13/2020,2020-21,2021-03-03,9.60701353772073,-1.2955067271046055,-13.485009904669761,P13/2015,2015-16,2016-03-02,8.399519149905135,-0.0880123392890102,-1.0478259257258105,True,
SL10,30,P05/2023,2023-24,2023-07-22,11.804152506510718,P13/2025,2025-26,2026-03-03,11.833383055499027,11.804152506510718,0.029230548988309124,0.24762937425780188,P13/2024,2024-25,2025-03-03,11.84973539286358,-0.01635233736455355,-0.1379974895844647,P05/2023,2023-24,2023-07-22,11.804152506510718,0.029230548988309124,0.24762937425780188,P05/2023,2023-24,2023-07-22,11.804152506510718,0.029230548988309124,0.24762937425780188,True,
C3,168,P01/2013,2013-14,2013-04-01,7.776685330102023,P13/2025,2025-26,2026-03-03,7.793616495592472,7.776685330102023,0.016931165490449374,0.21771699344593712,P13/2024,2024-25,2025-03-03,7.909853305585727,-0.11623680999325536,-1.4695191617671597,P13/2020,2020-21,2021-03-03,10.7652804575196,-2.9716639619271277,-27.604148109782003,P13/2015,2015-16,2016-03-02,7.885315008862687,-0.09169851327021483,-1.1629023465410124,True,
VH17,10,P02/2020,2020-21,2020-04-29,10.1228402615225,P10/2021,2021-22,2021-12-09,10.1417623813411,10.1228402615225,0.018922119818601146,0.1869250065174417,P10/2020,2020-21,2020-12-09,9.6040456544443,0.5377167268968002,5.598856422011803,P02/2020,2020-21,2020-04-29,10.1228402615225,0.018922119818601146,0.1869250065174417,P02/2020,2020-21,2020-04-29,10.1228402615225,0.018922119818601146,0.1869250065174417,True,
403,168,P01/2013,2013-14,2013-04-01,12.779373131531385,P13/2025,2025-26,2026-03-03,12.7988193158645,12.779373131531385,0.01944618433311618,0.15216853074847103,P13/2024,2024-25,2025-03-03,12.355971835165796,0.4428474806987044,3.584076482258849,P13/2020,2020-21,2021-03-03,13.2658147045238,-0.46699538865929924,-3.520291810649581,P13/2015,2015-16,2016-03-02,12.304348363483427,0.4944709523810733,4.018668342068023,True,
N19,168,P01/2013,2013-14,2013-04-01,11.232794807714097,P13/2025,2025-26,2026-03-03,11.24671346398067,11.232794807714097,0.013918656266573848,0.12391089221192968,P13/2024,2024-25,2025-03-03,10.972893673807413,0.27381979017325797,2.495420062502501,P13/2020,2020-21,2021-03-03,12.6726945279834,-1.4259810640027286,-11.252390411951675,P13/2015,2015-16,2016-03-02,11.154255947756196,0.09245751622447429,0.8288990019372217,True,
36X,8,P09/2013,2013-14,2013-11-11,9.292074948974124,P06/2023,2023-24,2023-08-19,9.30218578464715,9.292074948974124,0.010110835673026841,0.10881138743013595,P06/2023,2023-24,2023-08-19,9.30218578464715,0.0,0.0,P08/2018,2018-19,2018-10-14,9.566742078584191,-0.2645562939370407,-2.7653750018960808,P09/2013,2013-14,2013-11-11,9.292074948974124,0.010110835673026841,0.10881138743013595,True,
718,27,P01/2019,2019-20,2019-04-01,13.5314492415136,P12/2021,2021-22,2022-02-03,13.5442584079405,13.5314492415136,0.012809166426899665,0.09466219174515307,P12/2020,2020-21,2021-02-03,14.2243661599186,-0.6801077519781007,-4.781286873045404,P01/2019,2019-20,2019-04-01,13.5314492415136,0.012809166426899665,0.09466219174515307,P01/2019,2019-20,2019-04-01,13.5314492415136,0.012809166426899665,0.09466219174515307,True,
N319,44,P01/2016,2016-17,2016-04-01,12.798594075419636,P13/2019,2019-20,2020-03-02,12.8102068210155,12.798594075419636,0.011612745595863672,0.09073454105530664,P13/2018,2018-19,2019-03-03,12.668625925700916,0.1415808953145845,1.1175710463386446,P01/2016,2016-17,2016-04-01,12.798594075419636,0.011612745595863672,0.09073454105530664,P01/2016,2016-17,2016-04-01,12.798594075419636,0.011612745595863672,0.09073454105530664,True,
S2,26,P09/2023,2023-24,2023-11-11,11.013266259974356,P13/2025,2025-26,2026-03-03,11.011752240501323,11.013266259974356,-0.0015140194730332013,-0.01374723390222227,P13/2024,2024-25,2025-03-03,10.8322992603323,0.17945298016902278,1.6566471794790292,P09/2023,2023-24,2023-11-11,11.013266259974356,-0.0015140194730332013,-0.01374723390222227,P09/2023,2023-24,2023-11-11,11.013266259974356,-0.0015140194730332013,-0.01374723390222227,True,
SL4,12,P01/2025,2025-26,2025-04-01,11.400341393083735,P13/2025,2025-26,2026-03-03,11.397737194647911,11.400341393083735,-0.0026041984358240455,-0.022843161849556006,P01/2025,2025-26,2025-04-01,11.400341393083735,-0.0026041984358240455,-0.022843161849556006,P01/2025,2025-26,2025-04-01,11.400341393083735,-0.0026041984358240455,-0.022843161849556006,P01/2025,2025-26,2025-04-01,11.400341393083735,-0.0026041984358240455,-0.022843161849556006,True,
508,18,P06/2015,2015-16,2015-08-19,8.754636798871333,P13/2018,2018-19,2019-03-03,8.74948506321026,8.754636798871333,-0.005151735661073076,-0.058845795427369965,P10/2017,2017-18,2017-12-09,8.78313006904762,-0.03364500583736074,-0.3830639598054929,P06/2015,2015-16,2015-08-19,8.754636798871333,-0.005151735661073076,-0.058845795427369965,P06/2015,2015-16,2015-08-19,8.754636798871333,-0.005151735661073076,-0.058845795427369965,True,
